CD_setor,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00008,V00009,V00010,V00011,V00012,V00013,V00014,V00015,V00016,V00017,V00018,V00019,V00020,V00021,V00022,V00023,V00024,V00025,V00026,V00027,V00028,V00029,V00030,V00031,V00032,V00033,V00034,V00035,V00036,V00037,V00038,V00039,V00040,V00041,V00042,V00043,V00044,V00045,V00046,V00047,V00048,V00049,V00050,V00051,V00052,V00053,V00054,V00055,V00056,V00057,V00058,V00059,V00060,V00061,V00062,V00063,V00064,V00065,V00066,V00067,V00068,V00069,V00070,V00071,V00072,V00073,V00074,V00075,V00076,V00077,V00078,V00079,V00080,V00081,V00082,V00083,V00084,V00085,V00086,V00087,V00088,V00089
431440705130124,38,0,0,38,91,0,0,11,0,0,49,0,0,42,0,0,11,12,8,4,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,11,49,42,11,12,8,4,X,X,0,0,0,0,91,0,0,11,0,0
431440705130125,201,0,0,201,628,0,0,132,0,0,309,0,0,319,0,0,32,37,57,40,21,13,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,132,309,319,32,37,57,40,21,13,0,X,0,0,628,0,0,132,0,0
431440705130126,146,0,0,146,418,0,0,75,0,0,193,0,0,225,0,0,33,36,38,17,11,5,5,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,75,193,225,33,36,38,17,11,5,5,0,0,X,417,0,0,75,0,0
431440705130127,61,0,0,61,186,0,0,32,0,0,88,0,0,98,0,0,11,16,14,9,6,X,X,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,32,88,98,11,16,14,9,6,X,X,0,X,0,186,0,0,32,0,0
431440705130128,203,0,0,203,528,0,0,50,0,0,258,0,0,270,0,0,47,56,51,37,5,6,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,50,258,270,47,56,51,37,5,6,X,0,0,0,528,0,0,50,0,0
431440705130129,411,0,0,411,1246,0,0,241,0,0,596,0,0,650,0,0,63,113,94,76,37,19,5,X,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,241,596,650,63,113,94,76,37,19,5,X,0,X,1246,0,0,241,0,0
431440705130130,213,0,0,213,557,0,0,55,0,0,284,0,0,273,0,0,44,68,55,27,12,5,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,55,284,273,44,68,55,27,12,5,X,0,0,0,556,0,X,55,0,0
431440705130131,334,0,0,334,887,0,0,81,0,0,424,0,0,463,0,0,52,110,99,52,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,81,424,463,52,110,99,52,16,5,0,0,0,0,855,0,32,79,0,X
431440705130132,201,0,0,201,547,0,0,61,0,0,256,0,0,291,0,0,25,76,45,41,13,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,61,256,291,25,76,45,41,13,X,0,0,0,0,516,10,21,59,X,0
431440705130133,185,0,0,185,497,0,0,48,0,0,234,0,0,263,0,0,28,57,61,30,6,0,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,48,234,263,28,57,61,30,6,0,X,X,0,0,497,0,0,48,0,0
431440705130135,174,0,0,174,453,0,0,56,0,0,208,0,0,245,0,0,33,52,59,18,7,3,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,56,208,245,33,52,59,18,7,3,X,0,0,0,447,0,0,55,0,0
431440705130136,220,0,0,220,544,0,0,68,0,0,270,0,0,274,0,0,51,72,59,24,9,4,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,68,270,274,51,72,59,24,9,4,X,0,0,0,544,0,0,68,0,0
431440705130137,190,0,0,190,511,0,0,53,0,0,232,0,0,279,0,0,39,61,39,33,12,X,3,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,53,232,279,39,61,39,33,12,X,3,X,0,0,511,0,0,53,0,0
431440705130139,142,0,0,142,320,0,0,49,0,0,144,0,0,176,0,0,29,66,31,14,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,49,144,176,29,66,31,14,X,0,0,0,0,0,0,0,320,0,0,49
431440705130140,257,0,0,257,554,0,0,86,0,0,234,0,0,320,0,0,65,112,56,23,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,13,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,86,234,320,65,112,56,23,X,0,0,0,0,0,3,29,522,X,7,78
431440705130141,210,0,0,210,395,0,0,35,0,0,172,0,0,223,0,0,74,97,32,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,35,172,223,74,97,32,4,3,0,0,0,0,0,0,0,395,0,0,35
431440705130142,98,0,14,98,266,0,14,26,0,0,117,0,5,149,0,9,19,25,27,22,3,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,59,0,39,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,266,26,117,149,19,25,27,22,3,X,X,0,0,0,172,0,94,17,0,9
431440705130143,184,0,0,184,479,0,0,48,0,0,237,0,0,242,0,0,40,58,42,32,7,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,48,237,242,40,58,42,32,7,X,X,X,0,0,439,0,40,48,0,0
431440705130144,38,0,0,38,103,0,0,16,0,0,55,0,0,48,0,0,8,11,10,6,0,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,16,55,48,8,11,10,6,0,X,X,0,0,0,103,0,0,16,0,0
431440705130145,270,0,0,270,740,0,0,80,0,0,343,0,0,397,0,0,53,73,75,43,16,7,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,80,343,397,53,73,75,43,16,7,X,X,0,0,724,0,16,79,0,X
431440705130146,19,0,0,19,51,0,0,X,0,0,23,0,0,28,0,0,X,8,4,4,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,X,23,28,X,8,4,4,X,0,0,0,0,0,51,0,0,X,0,0
431440705130147,238,0,0,238,688,0,0,95,0,0,322,0,0,366,0,0,35,56,79,46,16,3,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,95,322,366,35,56,79,46,16,3,X,X,0,0,685,0,3,95,0,0
431440705130148,249,0,0,249,786,0,0,115,0,0,389,0,0,397,0,0,40,58,54,54,23,10,7,X,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,115,389,397,40,58,54,54,23,10,7,X,0,X,786,0,0,115,0,0
431440705130149,234,0,0,234,620,0,0,70,0,0,300,0,0,320,0,0,41,77,65,35,11,X,X,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,70,300,320,41,77,65,35,11,X,X,0,X,0,616,0,4,68,0,X
431440705130150,41,0,0,41,111,0,0,13,0,0,53,0,0,58,0,0,5,18,9,4,3,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,13,53,58,5,18,9,4,3,X,0,0,0,0,111,0,0,13,0,0
